生理性別,年紀,Facebook,Instagram,LINE,Discord,TikTok,Dcard,平均每日社群軟體使用時間,我更偏好使用什麼軟體「訊息他人」？,我更偏好使用什麼軟體「聊天」？,我更偏好使用什麼軟體「發布貼文」？,我更偏好使用什麼軟體「分享心情」？,我更偏好使用什麼軟體「消遣時間」？,我更偏好使用什麼軟體「得知社會新聞」？,我日常的資訊來源多數都來自什麼社交軟體？,我認為此種社交軟體更容易認識新朋友,我認為此種社交軟體更能容易加深與朋友間的關係,綜合來說我最喜歡什麼社交軟體？,對於使用社交軟體之感受程度 [相較於面對面我更喜歡用社交軟體與他人聊天],對於使用社交軟體之感受程度 [相較於面對面使用社交軟體聊天更讓我覺得自在],對於使用社交軟體之感受程度 [相較於面對面我更喜歡用社交軟體與人交流],對於使用社交軟體之感受程度 [相較於面對面使用社交軟體與人交流我比較不感到緊張],交流,對於使用社交軟體之感受程度 [使用社交軟體更容易與他人變熟],對於使用社交軟體之感受程度 [使用社交軟體使我更願意分享私事],對於使用社交軟體之感受程度 [當我快樂時我會用訊息跟最好的朋友分享],對於使用社交軟體之感受程度 [當我難過時我會用訊息跟最好的朋友傾訴],分享慾,對於使用社交軟體之感受程度 [此題請填4，否則問卷無效],對於使用社交軟體之感受程度 [我認為我在網路上的人際關係比現實中好],對於使用社交軟體之感受程度 [我認為相較於現實生活我在網路上更能處理好我的人際關係],對於使用社交軟體之感受程度 [如果可以面對面我不會選擇使用社交軟體],人際交流選擇,對於使用社交軟體之感受程度 [我喜歡使用社交軟體],對於使用社交軟體之感受程度 [我認爲社交軟體對我的人際關係造成負面的影響],對於使用社交軟體之感受程度 [我認為社交軟體對我的人際關係有很大的幫助],對於使用社交軟體之感受程度 [我認為社交軟體減少了人與人之間的互動],認同度,社交軟體附帶之影響 [我非常在意PO文的按讚數],社交軟體附帶之影響 [我會因為按讚數而感到焦慮],社交軟體附帶之影響 [PO文後我會反覆確認瀏覽數],社交軟體附帶之影響 [我希望我的貼文有很多人按讚],社交軟體附帶之影響 [我發文是因為想要分享],社交軟體附帶之影響 [我發文只是想要紀錄生活],社交軟體附帶之影響 [與其與他人當面分享我更喜歡透過社交媒體分享],社交軟體附帶之影響 [社交軟體減少了人與人之間面對面交流的機會],社交軟體附帶之影響 [我覺得人與人之間的關係不會受到社交媒體影響],社交軟體綁架程度,社會關係感受 [我時常感到寂寞],社會關係感受 [我有被遺忘的感覺],社會關係感受 [我覺得沒有人能真正理解我],社會關係感受 [覺得身邊的人讓我感到陌生],孤獨感,社會關係感受 [我很滿意目前的現實人際關係],社會關係感受 [比起現實生活，網路上的我更有存在感],社會關係感受 [社交軟體就像我的第二個家],社會關係感受 [我認為我在社交軟體上比在現實生活中還受到重視],社會關係感受 [我很滿意我目前網路上的人際關係],滿意度
男性,20,2,2,3,0,0,1,7,LINE,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,,,,3,4,3,3,13,4,3,4,4,15,,,,,0,,,,,0,2,2,2,2,4,3,4,4,2,-1,,,,,,,,,,,
男性,22,2,2,1,1,2,1,5,LINE,LINE,Instagram,Instagram,TikTok,Facebook/message,Facebook/message,Instagram,Instagram,Instagram,3,2,2,4,11,4,1,4,4,13,4,2,2,4,0,4,1,4,4,3,1,1,2,2,4,5,2,4,1,-6,3,4,1,2,10,4,4,3,2,4,9
男性,22,2,2,2,1,3,1,9,LINE,LINE,其他,Instagram,TikTok,Facebook/message,Instagram,Instagram,Instagram,Instagram,5,5,5,5,20,3,1,5,2,11,4,5,5,5,5,5,5,5,5,0,2,2,1,5,4,4,3,1,1,3,2,2,2,2,8,4,5,5,5,5,16
女性,20,1,5,2,0,0,1,7,LINE,LINE,Instagram,LINE,Instagram,其他,Instagram,Instagram,Instagram,Instagram,1,1,1,1,4,4,4,4,4,16,4,1,2,5,-2,1,2,4,5,-2,2,1,4,2,4,4,1,5,1,-4,2,2,4,1,9,3,1,1,1,2,2
男性,21,2,2,3,1,0,0,5,Facebook/message,Instagram,Instagram,Instagram,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Instagram,Instagram,4,4,3,4,15,4,4,3,4,15,4,2,2,3,1,4,1,4,4,3,3,2,2,3,4,5,3,4,4,-4,4,3,4,2,13,3,2,3,2,4,8
男性,21,4,4,2,3,3,1,7,Instagram,Instagram,Instagram,Instagram,TikTok,Facebook/message,Facebook/message,Instagram,LINE,TikTok,4,5,4,5,18,5,5,5,4,19,4,4,4,4,4,5,4,4,5,0,4,5,4,5,4,4,5,4,5,6,4,5,4,4,17,5,5,4,4,4,12
男性,20,1,2,1,0,1,1,5,Facebook/message,Facebook/message,Instagram,Instagram,Instagram,Facebook/message,Facebook/message,Instagram,Facebook/message,Instagram,2,3,4,4,13,2,2,3,3,10,3,2,3,3,2,2,2,3,4,-1,3,3,3,3,3,3,3,3,2,4,4,4,4,3,15,3,2,2,2,3,6
女性,20,5,5,5,0,0,5,9,LINE,LINE,Facebook/message,Facebook/message,Facebook/message,Facebook/message,LINE,Instagram,Facebook/message,Facebook/message,5,5,5,5,20,2,5,5,2,14,4,4,4,2,6,4,2,4,4,2,5,3,5,5,5,5,5,5,2,6,4,5,5,4,18,1,5,4,4,3,15
男性,21,3,3,2,0,0,2,5,Facebook/message,Facebook/message,Instagram,Instagram,Instagram,Facebook/message,Facebook/message,Dcard,Dcard,Instagram,3,4,4,4,15,4,3,4,3,14,4,4,4,2,6,4,4,2,4,-2,4,4,4,4,4,4,4,4,1,7,4,4,4,4,16,2,4,4,4,3,13
男性,26,1,2,4,0,0,0,5,LINE,LINE,Instagram,Instagram,Instagram,Facebook/message,Facebook/message,Instagram,LINE,LINE,4,4,4,4,16,4,2,4,3,13,4,3,3,2,4,3,3,3,3,0,3,3,3,4,4,4,3,3,3,2,5,4,4,4,17,2,2,2,3,2,7
